organization_npi,claim_inpatient_admission_type_code,claim_admitting_diagnosis_code,patient_count,claim_count
1730132515,3,1820,100,100
1730132515,3,185,100,100
1730132515,3,1889,100,100
1730132515,3,1890,100,100
1730132515,3,193,100,100
1730132515,3,1976,100,100
1730132515,3,20300,100,100
1730132515,3,2113,100,100
1730132515,3,2250,100,100
1730132515,3,2252,100,100
1730132515,3,2273,100,100
1730132515,3,V5811,100,500
1730133463,3,1983,100,100
1730133844,1,1629,100,100
1730133844,3,1534,100,100
1730133844,3,1536,100,100
1730133844,3,2113,100,100
1730134123,3,1539,100,100
1730134123,3,1629,100,100
1730134123,3,1749,100,100
1730134123,3,185,100,100
1730134123,3,2113,100,100
1730136532,1,1628,100,100
1730136532,3,1533,100,100
1730136532,3,1536,100,100
1730136532,3,1539,100,100
1730136532,3,1749,100,100
1730136532,3,185,100,100
1730136532,3,1888,100,100
1730136532,3,1890,100,100
1730136532,3,2113,100,100
1730136532,3,2189,100,100
1730166224,3,1539,100,100
1730166224,3,1749,100,100
1730166224,3,1820,100,100
1730166224,3,185,100,100
1730166224,3,2113,100,100
1730166224,3,2189,100,100
1730166224,3,2330,100,100
1730166224,3,V5811,100,100
1730173154,1,1629,100,100
1730173154,3,1539,100,100
1730173154,3,1749,100,100
1730173154,3,185,100,100
1730173154,3,2113,100,100
1730173550,3,2113,100,100
1730179714,1,1629,100,100
1730194259,2,1539,100,100
1730194259,2,1749,100,100
1730194259,2,V5811,100,100
1730195017,2,1623,100,100
1730195017,2,1629,100,100
1730195017,2,185,100,100
1730195017,2,1888,100,100
1730195017,2,1889,100,100
1730195017,2,1977,100,100
1730195017,2,1983,100,100
1730195017,2,1985,100,100
1730195017,2,51181,100,100
1730195017,2,V5811,100,100
1730195017,3,1412,100,100
1730195017,3,1419,100,100
1730195017,3,1431,100,100
1730195017,3,1505,100,100
1730195017,3,1510,100,100
1730195017,3,1519,100,100
1730195017,3,1533,100,100
1730195017,3,1534,100,100
1730195017,3,1536,100,100
1730195017,3,1541,100,100
1730195017,3,1550,100,100
1730195017,3,1560,100,100
1730195017,3,1570,100,100
1730195017,3,1579,100,100
1730195017,3,1580,100,100
1730195017,3,1623,500,500
1730195017,3,1625,100,100
1730195017,3,1628,100,100
1730195017,3,1629,100,100
1730195017,3,1713,100,100
1730195017,3,1715,100,100
1730195017,3,1724,100,100
1730195017,3,1748,100,100
1730195017,3,1749,100,100
1730195017,3,1820,500,500
1730195017,3,1830,100,100
1730195017,3,1844,100,100
1730195017,3,185,500,500
1730195017,3,1888,500,500
1730195017,3,1889,500,500
1730195017,3,1890,500,500
1730195017,3,1891,100,100
1730195017,3,1892,100,100
1730195017,3,193,100,100
1730195017,3,1960,100,100
1730195017,3,1963,100,100
1730195017,3,1965,100,100
1730195017,3,1970,100,100
1730195017,3,1976,100,100
1730195017,3,1977,100,100
1730195017,3,19889,100,100
1730195017,3,20921,100,100
1730195017,3,2113,100,100
1730195017,3,2230,100,100
1730195017,3,2330,100,100
1730195017,3,2337,100,100
1730195017,3,V5811,500,500
1730264128,1,1629,100,100
1730264128,1,1983,100,100
1730264128,1,2375,100,100
1730264128,1,51181,100,100
1730264128,1,V580,100,100
1730264128,1,V5811,100,100
1730264128,3,1536,100,100
1730264128,3,1541,100,100
1730264128,3,1623,100,100
1730264128,3,1625,100,100
1730264128,3,1629,100,100
1730264128,3,1749,100,100
1730264128,3,185,500,500
1730264128,3,1889,100,100
1730264128,3,2113,100,100
1730264128,3,V5811,100,100
1740208081,1,1629,100,100
1740208081,1,1983,100,100
1740208081,1,1991,100,100
1740208081,1,2396,100,100
1740208081,3,1533,100,100
1740208081,3,1534,100,100
1740208081,3,1536,100,100
1740208081,3,1539,100,100
1740208081,3,1623,100,100
1740208081,3,1629,100,100
1740208081,3,1744,100,100
1740208081,3,1749,100,100
1740208081,3,1820,100,100
1740208081,3,185,500,500
1740208081,3,1889,100,100
1740208081,3,1890,100,100
1740208081,3,193,100,100
1740208081,3,2113,100,100
1740208081,3,2352,100,100
1740208081,3,2362,100,100
1740208081,3,23691,100,100
1740215219,1,1629,100,100
1740215219,2,1983,100,100
1740215219,2,V5811,100,100
1740215219,3,1539,100,100
1740215219,3,1623,100,100
1740215219,3,1625,100,100
1740215219,3,1629,100,100
1740215219,3,1749,500,500
1740215219,3,1820,500,500
1740215219,3,1830,100,100
1740215219,3,1889,100,100
1740215219,3,2113,100,100
1740215219,3,2189,100,100
1740215219,3,2273,100,100
1740215219,3,2330,100,100
1740215219,3,2374,100,100
1740215219,3,V5811,100,100
1740221795,1,1629,100,100
1740230119,1,1579,100,100
1740230119,1,1629,100,100
1740230119,1,1749,100,100
1740230119,1,1991,100,100
1740230119,2,1579,100,100
1740230119,2,1629,100,100
1740230119,2,1749,100,100
1740230119,2,1991,100,100
1740230119,2,20280,100,100
1740230119,3,1539,100,100
1740230119,3,1540,100,100
1740230119,3,1541,100,100
1740230119,3,1629,100,100
1740230119,3,1749,500,500
1740230119,3,1820,100,100
1740230119,3,1830,100,100
1740230119,3,185,100,100
1740230119,3,1889,100,100
1740230119,3,1890,100,100
1740230119,3,193,100,100
1740230119,3,1991,100,100
1740230119,3,2113,100,100
1740230119,3,2189,100,100
1740230648,3,1629,100,100
1740230648,3,1749,100,100
1740231752,3,1749,100,100
1740231752,3,185,100,100
1740231752,3,1889,100,100
1740231752,3,1890,100,100
1740231752,3,2113,100,100
1740231752,3,2271,100,100
1740233782,2,1749,100,100
1740233782,2,V5811,100,100
1740233782,3,1533,100,100
1740233782,3,1534,100,100
1740233782,3,1536,100,100
1740233782,3,1539,100,100
1740233782,3,1540,100,100
1740233782,3,1541,100,100
1740233782,3,1623,100,100
