"Provider ID","Measure","Score","Footnote"
"HI","HAI_4_CI_UPPER","1.761",""
"IA","HAI_4_CI_UPPER","1.512",""
"ID","HAI_4_CI_UPPER","1.498",""
"IL","HAI_4_CI_UPPER","0.983",""
"IN","HAI_4_CI_UPPER","0.967",""
"KS","HAI_4_CI_UPPER","0.963",""
"KY","HAI_4_CI_UPPER","1.450",""
"LA","HAI_4_CI_UPPER","1.480",""
"MA","HAI_4_CI_UPPER","1.525",""
"MD","HAI_4_CI_UPPER","2.131",""
"ME","HAI_4_CI_UPPER","2.205",""
"MI","HAI_4_CI_UPPER","1.518",""
